Platform,color,model,posted_date,price,release_date,storage,title,description
중고나라,,iPhone 11,2026-03-23,190000,2019,128GB,아이폰 11s급,"아이폰 11프로 128기가입니다. 2년 정도 사용하였지만 깨끗합니다  보시는것처럼 액정, 뒷면 기스나 하자 하나도 없습니다 다만,모서리부분 기스가 두군데 있습니다. 배터리효율은 85정도였습니다. 케이스 두개 드릴게요"
중고나라,,iPhone 11,2020-09-05,110000,2019,128GB,아이폰11 128기가 전투형 판매,아이폰11 128기가 판매입니다 외관은 액정깨짐잇구요 화면은 멀쩡하구 터치도 잘되구요 하판은 생활기스잇구 카메라하단부 유리 살짝 깨짐 배타리 75프로 페이스아이디 잘됨 수리이력없습니다 챗주세여
중고나라,,iPhone 11,2026-03-23,140000,2019,64GB,아이폰11 64G,전체적으로 깨끗한편이구요~~  편하게 쓰시기에 좋아요~ 배터리 효율 77입니다 액정 사설에서 갈았습니다  파손 고장없습니다
중고나라,,iPhone 11,2026-03-23,130000,2019,64GB,아이폰11 64기가,필름을 붙이고 사용해서 액정에 긁힘이나 기스는 없습니다. 뒷면 또한 기스 없이 깨끗합니다만 아래 모서리 부분에 작은 기스가 있으니 이건 첨부한 사진을 참고하시기 바랍니다. 배터리는 사설센터에서 약 3년전 쯤 교체한 바 있습니다.
중고나라,,iPhone 11,2020-09-05,160000,2019,64GB,아이폰 11. 64g,전체적으로 깨끗한편이구요~~  편하게 쓰시기에 좋아요~ 배터리 효율 85입니다  파손 고장없습니다
중고나라,,iPhone 11,2026-03-20,130000,2019,64GB,아이폰 11 64GB,휴대폰 강화필름 깨진것 이외에는 스크래치 일절 없습니다.  배터리 성능 74% 입니다
중고나라,골드,iPhone 11 Pro,2026-03-22,200000,2019,256GB,아이폰11 프로 256기가 골드,"아이폰11 256기가 골드 색상 판매합니다. 내용물은 없지만 박스 보관중입니다.  외관 찍힘 전혀없으며, 공장초기화 후 보관중입니다.  네고문의는 정중히 사양합니다. 채팅주세요!  직거래는 창현리 택배거래 3000원추가, 반값택배 1600원추가됩니다."
중고나라,골드,iPhone 11 Pro,2026-03-22,210000,2019,256GB,아이폰 11 Pro 256GB Gold 100% 자녀폰 알뜰폰,"아이폰 11 Pro 256GB Gold 100% 자녀폰 알뜰폰  1. 제품정보  - 모델: iPhone 11 Pro, Gold, 256GB, Warranty 끝남 - Display OLED로 사설 교체 - 페이스 아이디를 비롯한 터치 및 모든 기능 이상 없음 - 외관 : 테두리에 생활스크레치외에 큰 스크레치 없음 - 카메라필름 : 카메라 필름 부착됨 - 유심호환 : SK KT LG 3사 호환 가능, 알뜰 선불 유심 가능 - 배터리 100%, 판매를 위해서 대용량 노혼 대용량으로 신규 교체 3250mAh - 배터리 사이클 0 ( 2/1일 신규교체 후 충전) - 최초사용일 : 알수 없음 - AS : Warranty 지나서 없음.   2. 제공품 - 아이폰 11 Pro 256GB 본체 - UAG Case(중고이나 초중학생에게는 최상, 드랍 테스트로 핸드폰 파손 대부분 막아줌) - 카메라 필름 부착됨 - 신지모루 액정 필름 부착됨  3. 거래방식  직거래(지역문의바랍니다.) 택배거래 가능해요 착불 / 선불 택배비 3,000원, 반값택배 2,000원  4. 구매자 보호 소비자 보호 정책에 의해 중고지만, 제품의 원형을 훼손하지 않았을 때 수령후 1주일내 환불가능. 제품에 파손이나 원형의 손상이 있다고 판단되면 환불 불가"
중고나라,골드,iPhone 11 Pro,2026-03-12,160000,2019,64GB,아이폰 11 프로 골드 64GB SA급,"서브폰으로 업무 용도로 사용한 아이폰 11 프로 골드 64GB 입니다.  외관 상 흠집은 거의 안보이고, 지문 정도만 보입니다.. 사용하면서 보호 필름과 케이스끼고 사용했으며, 현재는 판매 차 보호필름 제거 후 촬영했습니다. 그래서 액정도 흠집하나 없이 깨끗합니다.. 외관 상으로는 A~B+급 상태입니다.  디스플레이만 사설에서 한 번 교체했습니다.  스페어로 들고있었던 보호 필름과 맥세이프 케이스 함께 드립니다.  배터리 성능 %는 74% 입니다. 업무용 서브폰, 키즈폰 용도나 블랙박스 용도로 추천.  판매 전 공장 초기화 완료, SIM 제거 완료. 편의점 반값 이용시 택포 가격"
중고나라,그레이,iPhone 11 Pro,2026-03-23,260000,2019,64GB,아이폰11프로 64G 그레이(A2215) 효윯100% 무잔상 판매합니다,제품정보 제품 : 아이폰11프로 64G (A2215) 개통 : 2020년 3월 개통 A/S 만료 (버전18.4.1 배터리효율100%) 색상 : 그레이 금액 : 260.000 구성품 : 박스 따로없으며 액정필름 있습니다  제품설명 사진과 같이 깨끗하며 깨짐 큰파임 액정기스 없고 잔상처 정도 외 깨끗합니다 침수 이력없고 잔상 및 화면불량 없이 깨끗하게 잘 나옵니다(배터리 및 액정 사설에서 정품으로 교체함) 알뜰폰 및 통신사 관계없이 기존 유심 그대로 사용되며 기능 및 사용상 문제없이 작동 됩니다  직거래 및 택배거래 킉거래 모두 가능하며 안전거래시 미리 꼭 연락 부탁 드립니다 안전거래 퀵거래 택배거래시 배송비는 구매자 부담입니다  서울 성동구 행당동 168-72 동백빌딩3층 입니다(왕십리역 5번출구 도보 2분 거리입니다) 기타 문의 사항은 톡 주면 상세히 답변 드리겠습니다
중고나라,그린,iPhone 11 Pro,2026-03-20,200000,2019,256GB,아이폰11프로 256GB(20만),"- 상품 : 아이폰11프로 - 용량 : 256기가 - 색상 : 미드나잇그린 - 금액 : 200,000원 - 상태 : ? 배터리 73%  ? 액정 양호  ? 생활기스 약간"
중고나라,그린,iPhone 11 Pro,2026-03-19,220000,2019,256GB,아이폰 11프로 256 그린 택포 22만 정품 이어팟 포함,"택포 22만 아이폰 11프로 그린 256 입니다 사용안한 정품 이어팟(사진첨부) 정품박스에 같이 넣어서 함께 보낼께요  skt 정상해지폰이구, 3사호환 됩니다  최근 폰교체로 판매합니다 액정은 깨끗한데 옆으로 검은부분 작은 찍힘있어요 표면 살짝 떨어져나가서 패임 있지만 단단하고 문제 없이 사용했구요 (사진 확대해서 확인가능요) 검은 테두리 액정 사용시 안보여서 신경 안쓰고 잘 사용했어요. 뒷면 카메라 액정 붙어 있구요. 뒷면도 깨끗해 보이고요 최근 7-8개월 케이스 빼고 사용해서 옆면 생활기스 있어요  기능상 문제없고 잔상없구요 화면도 정말 깨끗!!! 모든게 잘 작동해요 해지전까지 사용했고 기기 상태 좋아요 고장나서 수리한적 없습니다 밧데리 애플센터에서 정품 1회 교환 (135000원 주고 했구요- 확인가능) 현재 밧데리효율 91프로 입니다 선택약정 25% 신청가능합니다 알뜰폰도 가능하고요 개인거래상 반품은 안됩니다.  폰은 초기화 해서 보내드립니다"
